Block,gen[B],kill[B],in[B],out[B]
B0,"d11, d12, d13, d2, d3, d4","d1, d10, d14, d15, d16, d20, d21, d22, d26, d27, d30, d5, d6, d7, d8, d9",,"d11, d12, d13, d2, d3, d4"
B1,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B2,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B3,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B4,d14,"d15, d16, d2","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d14, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B5,,,"d11, d12, d13, d14, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d14, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B6,d15,"d14, d16, d2","d11, d12, d13, d14, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d15, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B7,,,"d11, d12, d13, d15, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d15, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B8,d16,"d14, d15, d2","d11, d12, d13, d15, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B9,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B10,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B11,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B12,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B13,"d17, d18",,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B14,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B15,,,"d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B17,"d19, d20","d1, d10, d13, d7","d11, d12, d13, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B18,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B19,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B20,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B21,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B22,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B23,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B24,,,"d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4"
B25,d21,"d22, d26, d27, d3","d11, d12, d16, d17, d18, d19, d2, d20, d23, d25, d27, d28, d29, d3, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d21, d23, d25, d28, d29, d30, d4"
B26,,,"d11, d12, d16, d17, d18, d19, d2, d20, d21, d22, d23, d25, d28, d29, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d21, d22, d23, d25, d28, d29, d30, d4"
B27,d22,"d21, d26, d27, d3","d11, d12, d16, d17, d18, d19, d2, d20, d21, d22, d23, d25, d28, d29, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d22, d23, d25, d28, d29, d30, d4"
B29,,,"d11, d12, d16, d17, d18, d19, d2, d20, d21, d22, d23, d25, d28, d29, d30, d4","d11, d12, d16, d17, d18, d19, d2, d20, d21, d22, d23, d25, d28, d29, d30, d4"
